Token,Weight
C(=O)NO),0.25730802710739875
CO),0.17287283121557134
O),0.1677276811698724
O,0.1306353106765654
C,0.11755969364166906
Cc1cc(,0.10514222306513975
c2),0.09371477414071862
C1,0.09169118462170572
Cc1cc,0.09111275452856854
c4,0.0800809437050641
C(=O)N,0.07699826289621069
c2cc1,0.07379355038128915
CC,0.07333242908908769
cc3,0.07252957078959033
cc(,0.07197578889014072
C3),0.07059333801946027
c3,0.0698642941848476
[nH],0.06710909628686762
Cc1ccc(,0.06703828435182954
C[C@@H]1,0.06671496860122471
CO,0.0657313354712465
Cc1n,0.06504868190708966
C(=O)N3,0.06415244530067242
n2c1,0.06042930183026944
CC2)CC1,0.058659720461592325
C[C@H](,0.0570896347574279
c4cc(,0.056325315495666085
C(=O)O,0.055872141181532824
F),0.05575633657097927
-,0.05574376543553684
c1),0.05466677597929699
CN(C(=O),0.05445722532695081
c3),0.05399942658924928
C2),0.053167430099510526
cn1,0.0525145344286339
O=C(N,0.05199209552083466
O=C(,0.05131841701067131
c2cc(,0.050135681968965645
c(C(=O)N,0.048987362632720126
c2cc,0.04719290678144179
s1,0.04612473591462973
c1ccc2c(c1),0.045996286750619404
C[C@H]1,0.045858628886285044
o1,0.0451931186219811
c3cc(Br)cc,0.04456260775458475
c2nc(,0.04413928389282762
cc(=O),0.04306196813048243
Cc1cc2,0.042830979921097724
C),0.0428166475614305
C1),0.04227004921172595
3),0.042115080129005805
o,0.04124645299138029
C2=O,0.041095714499601865
c2cccc(,0.040194074158110896
C2,0.03918279995516398
CCN(C(=O),0.038550735756122244
C(=O),0.03793890703897951
[C@H](C),0.03772756174236684
c1cc2c(,0.03719102901827507
c2,0.03711190871185587
[C@@H](,0.03692113871350915
c3ccc4ccccc4,0.03680390425705646
2,0.0363252109798444
c1,0.03472770714361895
CN1,0.03463183807290272
[C@@H](C),0.03377290647539244
ncc1,0.0331623190268052
n1,0.032492993937675185
[C@H]2,0.032110492627263336
c1cc(,0.032022817603175074
N1,0.03155009571846603
c1cc,0.03095636041638909
2),0.030865890080697705
C[C@H]2,0.030673970157176416
CCN(,0.02964283976346936
F,0.029545168299257237
c3cc(,0.02948005504676056
C2CCN(C(=O),0.029392880515392045
c1cc2,0.02931904782629931
cc(-,0.029155851868297666
nc1,0.02833650254999038
N,0.027804661914115018
O)c(,0.027747761044830708
c3ccc(,0.027288050324766628
C3,0.027144623712715348
c3n[nH],0.026968078007298387
C(=O)N2CC,0.0267131760939264
ccc2,0.026435679842883236
c2c1,0.025823603855573234
C[C@H](O),0.024586970813159924
cc(C(=O)N,0.02424153600635973
c3cccc4,0.024232774079170846
CCC,0.02368569412054191
c3c2),0.02365295685164131
c3cc,0.023582059558631626
[C@@H]1,0.02345491171508659
C(=O)N1,0.023443813545913895
c1cccc(,0.023294349319771385
Cl)cc1,0.023140716983680514
cc,0.023027810136280767
c2ccc3c(c2),0.023014987889255982
nn2),0.022971955526909678
CC1,0.02289283647141086
c2n,0.022416999084487854
CC(,0.022218208249959362
CN(,0.021576372032390368
cc2c1,0.021535800730962767
c2ccc3c(,0.021357207092299227
COC(=O),0.021227140377680608
Cn1cc(,0.021165079515993574
Cc1cn,0.02094012753111852
1,0.02035878025968595
c1cccc2,0.019663625039672967
C(=O)N2,0.01943734044317113
C[C@H]3,0.0193498719511985
F)c(,0.018892181571870382
[C@H]3,0.018445308607597598
COc1cc2c(cc1,0.018217085940716086
n1),0.018042482885294208
c3ccccc3,0.01791260787202599
C[C@@H](,0.017726071381240445
3,0.01754349967019667
Cn1,0.01752240829087007
[nH]c2c1,0.01743275446497632
CC1(,0.017320101619395088
OC(=O),0.017012329340942055
CC2,0.01677286012710275
)cc,0.016160746091687474
c2ccc(,0.01614938100749417
cc2),0.016064890871412014
[C@@H]2,0.016030403163005833
CCCC,0.015826334677643637
Cn2cc(,0.015820753419456265
F)cc(F),0.015770574250601188
(F),0.015672886584089312
c2cc(-,0.0155367821568631
C[C@@H]2,0.01550205601980494
c2cc3,0.01539035620271939
cc1,0.015304037576774706
n[nH],0.015290822500946736
cn2,0.015206374325096507
Cc1ccc(C(=O)N,0.015194645293597547
ccc3,0.015147453924570961
c1cccc2c1,0.014774873139318478
[nH]1,0.014750779476092591
=,0.014542932659878188
cccc3,0.01442990047876411
c2ccccc2c1,0.014373641254127911
N2C(=O),0.014327175190823948
=N,0.014297053809233342
C(=O)OC,0.014291530835759453
CC3),0.014281401676544677
-c2cc,0.014234429979723767
c3s,0.014105941601337388
ccc(,0.014065668408971298
[C@H](CO),0.014027242716646453
c1cc2c(cc1,0.01397469144715603
n2),0.01391941613150382
c3cccc(,0.013894038103360375
=O,0.013768002384335197
Cc1c(,0.013711126200662963
CO2,0.013697528504404801
nn,0.013690619760014656
-c1ccc(,0.01355953666450123
CCO,0.013550992479621268
CC[C@H](,0.01345749115396444
(F)F),0.013398035361957016
CC(=O),0.01299016692499007
4),0.012944976227745712
[C@@H](CO),0.012868842728986802
F)cc3,0.012830662751427713
CCC3),0.012756444828784031
)cc3,0.012749956688795153
nc3,0.012713522718928828
c1cn,0.012681816531638116
Br)cc1,0.012493829844509655
c1cc2cccc,0.012351664831568271
[N+](=O)[O-])ccc1,0.01228789557995661
/C=C/,0.01228789557995661
Cl,0.012138551072223459
NC(=O),0.01208523802476908
c[nH],0.012064108598972303
n2,0.012003020880043028
N2,0.011765989305279083
c2cn,0.011744402088188756
Br)ccc1,0.011696399963906527
c2ccccc2n1,0.011676468757317395
c1cc(C(=O)N,0.011600361666084524
CCCN2C(=O),0.011563506379377477
c3cn,0.011548689744700892
cn,0.01137278914813446
c2ccc3ccccc3,0.01137108360391341
[C@@H]3,0.01115931876218348
c1ccccc1-,0.011110906380373955
C1=,0.011082909023955086
ccc(-,0.011056537341765722
c2ccccc2,0.011001160675552572
CCC2,0.010972856810574956
n4,0.010866823686254468
ncc,0.01086586923152848
3)cc,0.01086586923152848
nc(O),0.010849338748219025
cccc2,0.010842375717177164
c34),0.010829993599078915
s,0.010805391674622425
C[C@H]4,0.010673198441501596
c(C),0.010648953069520501
